TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,555587137,555587137,PA,Isla Solitaria,Isla Solitaria,Área de Uso Limitado Bajo Protección Especial,Limited Use Area Under Special Protection,National,VI,Not Applicable,Terrestrial,0,0,15,68.904368655104,Not Applicable,0,Designated,2001,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587138,555587138,PA,Los Escarchados,Los Escarchados,Reserva Natural de Interés Provincial,Provincial Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0,29.3,21.0355971158413,Not Applicable,0,Designated,1979,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587139,555587139,PA,Bloque Herratico,Bloque Herratico,Monumento Natural,Nature Monument,National,III,Not Applicable,Terrestrial,0,0,0,26.2829659081109,Not Applicable,0,Designated,2009,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587140,555587140,PA,Laguna Azul,Laguna Azul,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,0.6,13.0344452128595,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587141,555587141,PA,Isla Monte Leon,Isla Monte Leon,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0.293520241676654,4,4.9186656136267,Not Applicable,0,Designated,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587142,555587142,PA,Caleta Olivia,Caleta Olivia,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Marine,0,1.02743626414528,2,1.02743626414528,Not Reported,0,Designated,2008,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,555587143,555587143,PA,Meseta Espinosa y El Cordon,Meseta Espinosa y El Cordon,Reserva Hidrogeologica,Hydrological Reserve,National,VI,Not Applicable,Terrestrial,0,0,2469.88,2635.01482562483,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587144,555587144,PA,Bosque Petrificado Ea. La Urbana,Bosque Petrificado Ea. La Urbana,Reserva Natural Provincial,Provincial Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0,300.86,320.789282330008,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587145,555587145,PA,Rincon Nazari,Rincon Nazari,Reserva Natural Urbana,Urban Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0,0.1,0.1130837472611,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587146,555587146,PA,Tupa Poja - Lote 71 A,Tupa Poja - Lote 71 A,Reserva Privada,Private Reserve,National,VI,Not Applicable,Terrestrial,0,0,0.49,0.445834854621346,Not Applicable,0,Designated,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
